Fluorite, 4 (defining mineral), 3.175–3.184; to 3.56 if high in rare-earth elements
Garnet, 6.5–7.5, 3.1–4.3
Gold, 2.5, None
Gabrielite, 1.5 - 2, None
Gagarinite-(Ce), 3.5, 4.44–4.55
Gahnite, 7.5–8.0, 4.38–4.60
Galaxite, 7.5, 4.234
Galena, 2.5–2.75, 7.2–7.6
Gananite, 3.5, 8.928 calculated
Ganophyllite, 4 - 4.5, 2.84
Garnet, 6.5–7.5, 3.1–4.3
Gaspéite, 4.5 - 5, 3.71
Gatehouseite, 4[1], None
Gaylussite, 2.5, 1.93 - 1.99
Gedrite, 5.5 - 6, 3.18 - 3.33
Geerite, 3.5-4, 5.61
Gehlenite, 5-6, None
Geigerite, 3, 3.05
Geikielite, 5 - 6, 3.79 - 4.2
Georgerobinsonite, 2.5–3[2], None
Germanite, 4, 4.4 to 4.6
Gersdorffite, 5-5.5, 5.6-6.2
Getchellite, 1.5 to 2, 3.92 (observed) 4.0 (calculated)
Gibbsite, 2.5-3, 2.35
Gilalite, 2, 2.72
Glauberite, 2.5 - 3, 2.75–2.85
Glaucochroite, 6, None
Glaucodot, 5, 5.9 - 6.01, Average = 5.95
Glauconite, 2, 2.4 - 2.95
Glaucophane, 6.0 - 6.5, 3 - 3.15
Gmelinite, 4+1⁄2, 2.04 to 2.17
Godovikovite, 2, None
Goethite, 5 - 5.5, 3.3 - 4.3
Gold, 2.5, None
Goldmanite, 6–7, 3.74 – 3.77 (measured)
Gonnardite, 4 to 5, 2.21 to 2.36
Gordaite, 2.5, 2.627
Gormanite, 4-5, 3.10–3.13
Goslarite, 2.0–2.5, 1.96
Grandidierite, 7.5, None
Grandreefite, 2.5, 6.96
Graphite, 1–2, 1.9–2.3
Greenalite, 2.5, 2.85 - 3.15
Greenockite, 3.0-3.5, 4.8 - 4.9
Greifensteinite, 4.5, 2.93
Greigite, 4 to 4.5, 4.049
Grossular, 6.5 to 7[2], 3.61 (+.15 -.04)
Groutite, 3.5 - 4.0, 4.144
Grunerite, 5 - 6, 3.45
Guettardite, 4, 5.2
Gugiaite, 5, None
Guilleminite, 2, 4.88
Gunningite, 2.5, 3.195
Gwihabaite, 5, None
Gypsum, 1.5–2 (defining mineral for 2), 2.31–2.33
Beryl, 7.5 – 8, 2.63 - 2.92
Hematite, 5.5–6.5, 5.26
Heulandite, 3.5-4, None
Hübnerite, 4-4+1⁄2, 7.12 - 7.18
Hafnon, 7.5, None
Hagendorfite, 3.5, 3.71
Haggertyite, 5, 4.87 (calculated)
Halite, 2.0–2.5, 2.17
Halloysite, 2-2.5, 2-2.65
Halotrichite, 1.5 - 2, 1.89
Hambergite, 7.5, 2.347–2.372
Hanksite, 3–3.5, 2.562
Hardystonite, 3-4, 3.396–3.443
Hauerite, 4, 3.463
Hausmannite, 5.5, 4.7 - 4.84, average = 4.76
Hauyne, 5 to 6, 2.4 to 2.5
Hawleyite, 2.5-3, 4.87
Haxonite, 5+1⁄2 - 6, None
Hazenite, 2 - 2.5, 1.91
Heazlewoodite, 4, 5.82
Hectorite, 1 - 2, 2-3
Hedenbergite, 5.5 - 6.5, None
Hellyerite, 2.5, 1.97
Hematite, 5.5–6.5, 5.26
Hemihedrite, 3, 6.42
Hemimorphite, 4.5-5, 3.516 - 3.525
Hemusite, 4, None
Hendricksite, 2.5 - 3, 2.86 - 3.43
Herbertsmithite, 3–3.5, 3.75-3.95
Hercynite, 7.5, 3.95
Herderite, 5 - 5.5, 3.02
Hessite, 2 - 3, 8.24 - 8.45
Heulandite, 3.5-4, None
Hiärneite, 7, 5.44
Hibonite, 7+1⁄2-8, 3.84
Hidalgoite, 4.5, 3.71–3.96
Hilgardite, 5, 2.67–2.71
Hisingerite, 2.5 - 3.0, 2.43 - 2.67
Hodgkinsonite, 4+1⁄2 - 5, None
Hollandite, 4 to 6, None
Homilite, 5–5+1⁄2, 3.34
Hopeite, 3-3.5, 3
Hornblende, 5–6, 2.9
Howlite, 3.5, 2.53 - 2.59
Hsianghualite, 6.5, 2.97 to 3.00, measured[5]
Hubeite, 5.5, 3.02
Hübnerite, 4-4+1⁄2, 7.12 - 7.18
Huemulite, 2.5 to 3, 2.39 g/cm3[3]
Humite, 6–6.5, 3.20 – 3.32
Huntite, 1-2, 2.696
Hureaulite, 3.5, 3.18 - 3.2 (measured), 3.23 (calculated)
Hutchinsonite, 1.5–2, 4.6
Huttonite, 4.5, 7.1
Hydroboracite, 2, None
Hydrogrossular, 7–7.5, 4.15+0.05−0.03
Hydrokenoelsmoreite, 3, None
Hydromagnesite, 3.5, 2.16–2.2
Hydrotalcite, 2, 2.03 - 2.09
Hydroxyapatite, 5, 3.14–3.21 (measured), 3.16 (calculated)
Hydrozincite, 2 - 2+1⁄2, 3.5 - 4
Beryl, 7.5 – 8, 2.63 - 2.92
Heliotrope (mineral), 6.5–7, 2.61
Grossular, 6.5 to 7[2], 3.61 (+.15 -.04)
